Date,Open,High,Low,Close,Adj Close,Volume
2009-10-16,5223.000000,5272.899902,5176.399902,5190.200195,5190.200195,1178422600
2009-10-19,5190.200195,5281.500000,5190.200195,5281.500000,5281.500000,827031100
2009-10-20,5281.500000,5298.500000,5243.399902,5243.399902,5243.399902,1072976900
2009-10-21,5243.399902,5268.000000,5174.500000,5257.899902,5257.899902,1133964200
2009-10-22,5257.899902,5257.899902,5166.500000,5207.399902,5207.399902,1018440500
2009-10-23,5207.399902,5299.600098,5207.399902,5242.600098,5242.600098,983285500
2009-10-26,5242.600098,5281.100098,5166.399902,5191.700195,5191.700195,934834000
2009-10-27,5191.700195,5230.600098,5181.899902,5201.000000,5201.000000,1445543900
2009-10-28,5201.000000,5201.000000,5074.100098,5080.399902,5080.399902,1417096300
2009-10-29,5080.399902,5145.600098,5042.700195,5137.700195,5137.700195,1347176900
2009-10-30,5137.700195,5169.899902,5024.399902,5044.600098,5044.600098,1400463200
2009-11-02,5044.600098,5115.700195,5022.500000,5104.500000,5104.500000,1039674900
2009-11-03,5104.500000,5104.500000,4985.100098,5037.200195,5037.200195,1355407200
2009-11-04,5037.200195,5120.799805,5037.200195,5107.899902,5107.899902,959549700
2009-11-05,5107.100098,5154.600098,5036.899902,5125.600098,5125.600098,1004107700
2009-11-06,5125.600098,5159.000000,5077.899902,5142.700195,5142.700195,1026864200
2009-11-09,5142.700195,5240.000000,5142.700195,5235.200195,5235.200195,866590200
2009-11-10,5235.200195,5264.299805,5221.500000,5230.600098,5230.600098,1093802700
2009-11-11,5230.600098,5301.100098,5230.600098,5266.799805,5266.799805,1048756700
2009-11-12,5266.799805,5304.899902,5254.100098,5276.500000,5276.500000,1021883100
2009-11-13,5276.500000,5297.399902,5251.299805,5296.399902,5296.399902,825549600
2009-11-16,5296.399902,5397.000000,5296.399902,5382.700195,5382.700195,786345500
2009-11-17,5382.700195,5382.700195,5337.000000,5345.899902,5345.899902,861148200
2009-11-18,5345.899902,5372.100098,5331.600098,5342.100098,5342.100098,1023292500
2009-11-19,5342.100098,5343.799805,5254.200195,5267.700195,5267.700195,969706000
2009-11-20,5267.700195,5309.399902,5224.000000,5251.399902,5251.399902,1164314900
2009-11-23,5251.399902,5379.500000,5251.399902,5355.500000,5355.500000,721784600
2009-11-24,5355.500000,5374.899902,5309.100098,5324.000000,5324.000000,1133815900
2009-11-25,5324.000000,5372.200195,5324.000000,5364.799805,5364.799805,1022719500
2009-11-26,5364.799805,5364.799805,5189.399902,5194.100098,5194.100098,1110331200
2009-11-27,5194.100098,5271.000000,5103.799805,5245.700195,5245.700195,1511711600
