Date;Open;High;Low;Close;Adj Close;Volume
Jun 16, 2008;5,802.80;5,832.60;5,759.60;5,794.60;5,794.60;1,256,900,700
Jun 13, 2008;5,793.70;5,818.30;5,719.50;5,802.80;5,802.80;1,353,586,500
Jun 12, 2008;5,725.50;5,797.80;5,719.80;5,790.50;5,790.50;1,871,306,800
Jun 11, 2008;5,847.40;5,859.40;5,708.30;5,723.30;5,723.30;1,940,035,400
Jun 10, 2008;5,869.80;5,873.20;5,813.40;5,827.30;5,827.30;1,327,050,900
Jun 09, 2008;5,902.90;5,938.50;5,869.60;5,877.60;5,877.60;1,309,997,000
Jun 06, 2008;5,995.30;6,074.50;5,906.50;5,906.80;5,906.80;1,377,027,700
Jun 05, 2008;5,970.10;6,005.10;5,941.00;5,995.30;5,995.30;1,435,388,200
Jun 04, 2008;6,057.70;6,057.70;5,933.30;5,970.10;5,970.10;1,609,778,100
Jun 03, 2008;6,007.60;6,059.00;5,993.30;6,057.70;6,057.70;1,331,720,300
Jun 02, 2008;6,053.50;6,060.80;5,978.40;6,007.60;6,007.60;1,276,716,500
May 30, 2008;6,068.10;6,111.60;6,044.70;6,053.50;6,053.50;1,650,279,300
May 29, 2008;6,069.60;6,130.50;6,041.10;6,068.10;6,068.10;1,377,029,000
May 28, 2008;6,058.50;6,122.20;6,052.50;6,069.60;6,069.60;1,344,845,200
May 27, 2008;6,087.30;6,141.70;6,048.70;6,058.50;6,058.50;1,296,141,700
May 23, 2008;6,181.60;6,182.90;6,087.30;6,087.30;6,087.30;1,133,052,000
May 22, 2008;6,198.10;6,226.20;6,159.40;6,181.60;6,181.60;1,551,634,900
May 21, 2008;6,191.60;6,257.30;6,183.50;6,198.10;6,198.10;1,354,508,100
May 20, 2008;6,376.50;6,376.50;6,191.60;6,191.60;6,191.60;1,350,917,600
May 19, 2008;6,304.30;6,377.00;6,302.80;6,376.50;6,376.50;1,110,917,200
May 16, 2008;6,251.80;6,348.60;6,251.80;6,304.30;6,304.30;1,197,060,400
May 15, 2008;6,216.00;6,258.50;6,168.80;6,251.80;6,251.80;1,137,169,800
May 14, 2008;6,211.90;6,253.10;6,167.90;6,216.00;6,216.00;1,161,774,500
May 13, 2008;6,220.60;6,268.10;6,142.30;6,211.90;6,211.90;1,047,796,100
May 12, 2008;6,204.70;6,251.90;6,184.80;6,220.70;6,220.70;678,570,800
May 09, 2008;6,270.80;6,270.80;6,167.60;6,204.70;6,204.70;964,963,800
May 08, 2008;6,256.50;6,273.30;6,217.00;6,270.80;6,270.80;1,054,319,900
May 07, 2008;6,215.20;6,275.00;6,214.10;6,261.00;6,261.00;1,036,822,500
May 06, 2008;6,215.50;6,233.70;6,155.90;6,215.30;6,215.30;1,079,620,600
May 02, 2008;6,087.30;6,223.90;6,087.30;6,215.50;6,215.50;1,199,047,200
May 01, 2008;6,087.30;6,118.20;6,066.00;6,087.30;6,087.30;579,075,100
Apr 30, 2008;6,089.40;6,120.30;6,035.80;6,087.30;6,087.30;1,156,154,900
Apr 29, 2008;6,090.40;6,133.50;6,051.60;6,089.40;6,089.40;997,915,900
